userID;condition;rep_0--amp_0--wav_100;rep_0--amp_0--wav_200;rep_0--amp_0--wav_400;rep_0--amp_0--wav_50;rep_0--amp_0--wav_800;rep_0--amp_12--wav_100;rep_0--amp_12--wav_200;rep_0--amp_12--wav_400;rep_0--amp_12--wav_50;rep_0--amp_12--wav_800;rep_0--amp_24--wav_100;rep_0--amp_24--wav_200;rep_0--amp_24--wav_400;rep_0--amp_24--wav_50;rep_0--amp_24--wav_800;rep_0--amp_48--wav_100;rep_0--amp_48--wav_200;rep_0--amp_48--wav_400;rep_0--amp_48--wav_50;rep_0--amp_48--wav_800;rep_0--amp_6--wav_100;rep_0--amp_6--wav_200;rep_0--amp_6--wav_400;rep_0--amp_6--wav_50;rep_0--amp_6--wav_800;rep_1--amp_0--wav_100;rep_1--amp_0--wav_200;rep_1--amp_0--wav_400;rep_1--amp_0--wav_50;rep_1--amp_0--wav_800;rep_1--amp_12--wav_100;rep_1--amp_12--wav_200;rep_1--amp_12--wav_400;rep_1--amp_12--wav_50;rep_1--amp_12--wav_800;rep_1--amp_24--wav_100;rep_1--amp_24--wav_200;rep_1--amp_24--wav_400;rep_1--amp_24--wav_50;rep_1--amp_24--wav_800;rep_1--amp_48--wav_100;rep_1--amp_48--wav_200;rep_1--amp_48--wav_400;rep_1--amp_48--wav_50;rep_1--amp_48--wav_800;rep_1--amp_6--wav_100;rep_1--amp_6--wav_200;rep_1--amp_6--wav_400;rep_1--amp_6--wav_50;rep_1--amp_6--wav_800
3;;10;4;48;9;9;6;9;9;9;11;4;11;5;7;10;5;13;7;13;6;15;8;10;10;14;8;14;10;4;9;10;8;15;15;48;4;5;10;8;14;4;2;6;9;5;11;4;4;3;4
4;;9;113;129;129;73;1;5;113;6;4;3;5;4;9;9;2;14;14;11;22;7;7;7;7;66;7;5;7;73;5;1;9;14;11;123;1;0;4;6;3;9;5;13;8;6;5;6;2;11;93
5;;5;7;10;2;5;4;14;10;13;10;12;2;18;6;5;17;4;10;10;7;6;11;11;13;5;10;10;2;12;11;16;9;4;7;2;16;6;6;10;11;4;5;5;12;2;7;12;8;4;10
6;;7;6;5;6;5;13;12;4;5;1;7;4;3;7;1;4;11;8;3;7;10;12;6;7;5;4;7;13;1;6;9;4;2;3;13;10;5;12;9;4;8;6;5;5;1;7;7;7;7;1
7;;4;3;9;3;12;11;7;18;12;1;9;7;8;5;7;11;1;14;9;3;8;12;3;7;3;4;3;9;9;9;11;8;8;18;8;10;14;6;13;9;22;8;13;13;4;9;6;12;13;10
8;;13;5;211;16;104;4;11;6;13;16;0;4;82;2;9;13;3;6;6;7;2;8;7;4;2;6;16;16;114;4;1;5;14;13;3;16;4;9;8;10;2;2;6;10;6;7;4;104;16;3
9;;1;11;7;5;7;8;6;4;8;6;3;16;9;10;5;4;7;8;10;7;1;4;7;5;1;7;7;3;16;7;7;9;6;11;7;5;3;1;9;3;13;9;1;5;11;10;3;5;1;4
11;;11;3;11;11;7;2;14;11;11;1;4;6;1;2;3;9;11;8;5;117;3;3;117;13;7;11;11;2;6;6;0;8;4;7;2;11;4;11;14;8;6;4;7;6;3;8;9;6;3;2
12;;5;7;8;4;8;11;7;8;12;7;11;12;12;16;7;6;14;7;11;10;6;10;13;6;7;7;4;14;5;16;2;4;7;5;16;1;16;12;2;13;16;18;6;7;5;8;7;4;10;4
13;;2;11;8;13;4;6;8;3;5;2;5;0;10;7;9;4;2;3;3;8;3;9;122;4;5;11;1;4;13;9;11;2;8;11;3;8;1;8;9;45;5;9;1;13;16;4;15;8;8;0
14;;4;7;5;3;4;15;3;5;5;7;4;3;4;3;5;2;3;5;4;10;3;11;13;4;7;0;3;4;4;0;2;2;11;6;6;6;7;9;8;0;6;6;9;2;4;7;5;13;4;8
